SubID,Timepoint,ID,ProlificID,Age,Gender,SEL,Country,State,Emp,Edu,SRA1,SRA2,SRA3,SRA4,SRA5,SRA6,SRA7,SRA8,SRA9,SRA10,SRA11,SRA12,SRA13,SRA14,SRA15,SRA16,SRA17,SRA18,SRA19,SRA20,VAR029,PSI1,PSI2,PSI3,PSI4,relative,friend,acquaint,stranger,ingroup,outgroup,VAR033,ownn,othern,political,identify,help,VAR039,PS1,PS2,PS3,PS4,PS5,PS6,PS7,PS8,PS9,PS10,VAR050,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D20,D21,VAR072,RP1,RP2,RP3,RP4,RP5,RP6,RP7,RP8,RP9,RP10,VAR083,socialm,personalcom,mainnews,indnews,personalexp,VAR089,alc1,alc2,alc3,control,VAR094
49,1,156,5c1ee1d754d71c0001a59abf,20,1,4,2,AZ,3,1,1,3,3,3,3,3,4,1,1,3,3,1,1,1,1,2,1,1,3,1,,5,2,6,4,NA,NA,NA,NA,NA,NA,,2,3,2,1,1,,2,2,3,3,2,1,3,3,2,1,,1,2,1,0,2,0,0,0,0,1,1,2,1,1,0,2,0,0,0,1,0,,6,3,1,5,6,6,6,6,6,5,,2,1,4,1,1,,1,1,1,4,
50,1,157,5cef63f645c1ec001920d752,25,1,1,2,AZ,3,1,1,5,5,3,2,3,3,1,3,1,2,3,2,3,4,3,4,3,3,3,,7,7,7,7,NA,NA,NA,NA,NA,NA,,3,3,3,1,1,,3,2,2,3,2,2,3,1,1,1,,1,2,0,2,2,2,1,2,1,2,2,1,2,1,2,1,2,2,1,2,0,,4,6,7,7,4,4,4,6,6,6,,3,3,3,3,1,,1,2,1,4,
63,1,171,56f850b61b99b8000c3657a6,49,2,3,2,AZ,2,3,1,4,3,4,3,5,3,3,2,5,3,1,1,1,1,1,2,2,3,3,,7,4,6,4,NA,NA,NA,NA,NA,NA,,3,2,2,1,3,,3,3,4,2,2,2,2,2,3,1,,3,0,0,1,2,2,0,0,2,0,3,1,1,2,1,0,0,3,0,0,0,,5,4,4,5,3,3,4,4,5,5,,2,3,2,3,1,,4,2,1,4,
133,1,244,5e2926d80beb030ede110e67,47,2,4,2,AZ,1,2,3,4,3,5,4,5,3,1,5,5,4,3,3,2,3,5,5,3,3,5,,7,7,7,7,NA,NA,NA,NA,NA,NA,,3,3,4,3,2,,3,3,3,2,2,2,2,2,4,3,,2,1,1,2,1,1,0,1,1,1,1,2,2,1,1,2,3,1,0,1,1,,2,3,2,2,3,2,3,3,3,3,,3,3,2,1,1,,3,6,1,4,
138,1,249,5c304ead89f0350001766c7d,29,1,3,2,AZ,1,3,1,1,1,3,1,3,4,3,1,3,3,1,1,1,1,1,1,1,1,3,,1,1,6,6,NA,NA,NA,NA,NA,NA,,3,3,4,2,1,,2,1,3,4,3,1,4,3,2,1,,1,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,,5,5,4,4,6,5,5,5,6,5,,3,4,3,2,1,,2,2,2,4,
172,2,22,5cc53bef8d2a1e000185c3a4,33,2,2,2,AZ,1,1,3,3,4,3,3,4,3,1,1,3,3,1,1,1,2,3,1,1,1,3,,5,6,7,4,NA,NA,NA,NA,NA,NA,,5,3,5,1,1,,1,1,1,3,3,1,4,4,0,1,,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,2,0,0,,1,3,4,2,5,3,2,3,1,4,,3,3,3,3,1,,1,1,1,4,
189,2,39,5cba6cba7b56420015438da9,25,2,3,2,AZ,1,3,1,3,3,3,3,3,4,1,2,3,3,1,2,3,2,3,2,2,3,3,,5,4,5,5,NA,NA,NA,NA,NA,NA,,3,3,2,3,1,,3,4,4,3,2,2,2,2,3,2,,2,1,2,1,2,2,0,2,1,3,2,3,2,1,2,2,1,1,1,2,2,,4,3,6,6,5,5,7,7,6,5,,4,4,5,4,2,,4,2,1,4,
271,2,122,5ddc2042d5b0d0000a37b57b,19,2,2,2,AZ,2,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,,5,2,4,2,NA,NA,NA,NA,NA,NA,,2,3,1,3,3,,2,3,4,0,1,4,1,0,2,4,,3,1,3,2,3,1,2,3,0,3,2,3,3,2,2,3,3,1,1,3,3,,5,5,5,6,6,5,5,5,5,5,,5,4,4,3,3,,1,1,1,4,
342,3,43,5c192fc6cacfb0000155a776,29,2,3,2,AZ,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,3,3,3,,6,6,6,6,3,3,2,2,2,2,,5,4,1,2,3,,3,3,3,3,3,3,3,3,3,3,,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,1,,2,2,3,4,5,5,5,5,5,5,,5,5,2,2,2,,1,1,1,4,
357,3,58,5b287b1a8ecf3f000161bc22,23,2,3,2,AZ,3,1,2,3,3,4,3,4,4,3,3,3,3,1,1,1,1,3,1,1,3,1,,7,2,6,5,3,1,1,2,1,1,,1,3,1,3,3,,3,4,4,1,1,2,1,1,4,2,,1,2,1,0,2,0,3,2,1,2,2,1,2,0,2,2,0,0,0,0,1,,4,5,3,6,6,5,5,5,7,5,,5,4,5,2,1,,4,3,2,4,
422,3,123,5b0739faa84dcf0001bef230,46,1,2,2,AZ,2,1,2,5,3,4,3,3,3,3,4,4,3,1,3,3,2,3,2,3,4,3,,6,5,6,6,3,2,2,2,2,2,,3,3,2,3,3,,2,3,3,2,1,1,3,1,2,2,,1,1,2,0,1,1,1,1,0,2,2,1,2,1,0,2,1,1,1,0,2,,4,5,7,6,5,5,5,5,6,5,,3,2,4,4,1,,5,2,1,4,
452,4,2,JFanucchi ,24,2,3,2,AZ,2,1,1,3,3,3,3,4,4,1,3,3,3,2,1,3,1,5,2,1,3,4,,7,7,7,7,1,2,2,1,1,1,,3,4,2,3,3,,3,2,4,3,2,1,4,3,1,0,,2,0,0,0,0,0,0,1,0,0,2,1,2,0,1,1,0,1,0,1,0,,1,1,2,4,2,2,2,3,1,2,,5,5,4,4,1,,2,2,2,4,
460,4,11,5c55c45f53fba80001bcf323,28,2,2,2,AZ,1,1,1,2,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,,1,2,4,3,2,1,1,1,1,1,,1,3,3,3,3,,3,4,3,0,0,4,1,0,4,4,,3,2,3,0,3,2,1,2,3,3,3,3,3,3,2,3,3,3,1,2,3,,1,2,6,5,1,2,2,1,1,3,,1,1,1,1,1,,3,2,1,4,
479,4,30,599467b55f49420001cafa81,45,2,3,2,AZ,2,1,3,3,4,3,2,4,1,1,2,4,4,2,1,3,3,2,3,2,4,3,,6,7,5,7,3,3,2,2,2,2,,4,4,3,3,3,,1,2,3,2,2,2,3,1,1,3,,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,,4,3,6,4,2,3,3,4,5,4,,1,3,4,2,1,,2,2,1,4,
533,4,84,5c0039c2f3d17a00014480a5,26,2,3,2,AZ,1,1,2,3,1,5,3,4,2,1,3,5,5,1,1,5,1,4,1,3,4,4,,7,5,7,4,2,2,1,3,1,2,,4,5,3,1,3,,3,3,4,1,0,2,1,0,4,3,,3,3,2,1,3,2,3,3,3,1,1,3,1,1,3,2,1,0,2,3,0,,1,3,4,5,4,3,6,7,2,5,,2,3,5,1,1,,1,2,3,4,
3,1,210,5da7fa321f35d50012a29f15,18,1,2,1,CA,3,1,1,5,3,4,3,5,3,1,3,5,5,1,1,3,1,5,1,1,3,1,,6,4,4,7,NA,NA,NA,NA,NA,NA,,4,4,3,1,1,,4,3,1,3,2,0,2,3,3,0,,0,0,0,0,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,,2,3,4,5,3,2,5,5,7,4,,5,3,4,4,1,,4,3,3,4,
5,1,4,5c69298b4f67dc000154398a,20,1,2,2,CA,3,1,3,4,3,3,3,4,5,2,3,5,5,1,3,3,2,3,3,4,5,2,,6,5,7,5,NA,NA,NA,NA,NA,NA,,4,3,1,3,3,,2,2,3,2,2,1,3,2,3,2,,2,0,0,1,1,2,0,1,1,0,1,1,1,0,1,0,0,0,2,2,0,,5,2,6,6,6,6,7,7,3,5,,4,5,5,2,2,,1,1,1,4,
9,1,15,5c7b9a308fbcb100016b7e4e,42,2,3,2,CA,2,3,1,3,1,2,1,3,1,1,1,3,3,1,1,1,1,3,1,1,3,2,,6,5,7,5,NA,NA,NA,NA,NA,NA,,4,3,3,2,3,,3,4,4,1,1,2,1,1,2,4,,1,0,2,0,1,1,0,3,0,3,2,3,3,0,1,3,0,1,0,0,1,,3,2,4,7,3,5,5,4,6,5,,5,3,2,2,1,,2,2,1,4,
28,1,99,5c6f1e080b99a000018cc53b,53,2,2,2,CA,1,2,2,4,3,5,3,5,5,3,4,5,5,2,4,4,3,4,4,4,3,5,,7,6,7,7,NA,NA,NA,NA,NA,NA,,3,3,3,3,3,,3,3,3,2,2,2,2,2,3,2,,2,2,2,1,2,1,0,1,1,1,2,2,3,1,1,2,0,1,1,1,0,,4,6,3,6,6,4,5,6,2,4,,3,2,5,4,4,,3,2,1,4,
45,1,143,5e72e03464051f231da4487b,30,2,4,2,CA,2,1,1,3,5,3,3,4,2,1,1,3,3,2,3,3,2,3,3,1,3,3,,7,6,7,7,NA,NA,NA,NA,NA,NA,,4,4,2,3,3,,3,3,4,0,1,4,2,1,3,4,,3,2,1,2,2,1,0,2,0,1,2,2,1,0,2,1,3,2,1,2,1,,6,2,2,2,6,6,7,7,6,2,,5,4,3,3,1,,5,3,3,4,
56,1,163,5e581dfc64a1e402645e74f6,24,1,1,2,CA,2,1,1,2,1,2,1,2,1,1,2,3,2,1,1,1,1,1,1,1,1,1,,3,6,7,7,NA,NA,NA,NA,NA,NA,,3,3,1,2,1,,3,3,2,2,2,1,4,3,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,5,3,6,5,5,6,5,7,6,,1,2,4,4,1,,1,1,1,4,
78,1,187,5db2cfc2aa1295000aa719c1,24,1,3,2,CA,1,3,2,4,3,4,3,4,3,3,3,3,3,1,1,3,1,3,2,1,3,3,,7,6,7,7,NA,NA,NA,NA,NA,NA,,5,4,1,2,3,,3,2,2,3,3,1,4,1,0,0,,0,1,1,1,3,1,1,0,0,1,1,0,2,2,0,2,0,2,2,0,1,,6,3,1,6,6,7,7,7,7,4,,4,4,5,1,1,,5,3,3,4,
80,1,189,5826340fc8fa310001000e20,22,1,4,2,CA,3,2,1,3,3,3,3,3,3,1,1,4,1,1,3,1,1,4,4,1,1,4,,6,3,6,4,NA,NA,NA,NA,NA,NA,,3,3,2,3,1,,3,2,2,2,2,1,3,3,3,1,,1,1,1,0,0,1,0,0,0,0,1,1,0,2,1,0,0,2,0,0,0,,6,5,1,5,7,7,7,7,7,5,,5,5,5,3,1,,1,1,1,4,
88,1,198,5e6d3b17a2b73d2f7aef3d04,53,2,3,2,CA,1,1,3,3,3,4,3,5,2,2,3,5,4,1,4,1,2,4,3,3,1,3,,7,3,7,7,NA,NA,NA,NA,NA,NA,,5,3,5,2,1,,4,4,4,4,1,1,3,3,4,1,,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,,1,1,2,6,2,1,2,2,7,7,,1,5,5,5,1,,2,2,1,4,
90,1,200,5dd6057c35cf745b737caf2b,42,1,2,2,CA,1,2,1,3,3,5,3,5,5,3,3,5,5,1,3,3,3,5,3,5,5,3,,7,7,7,7,NA,NA,NA,NA,NA,NA,,3,4,1,3,1,,1,1,3,4,2,1,2,3,2,2,,1,2,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,,5,3,2,7,6,6,6,6,7,2,,3,3,4,3,3,,2,2,1,4,
104,1,215,5a9ac2e31ade740001b8fe2b,35,1,3,2,CA,1,3,2,3,3,3,4,4,3,3,4,4,4,1,3,2,1,4,2,3,3,3,,5,4,5,6,NA,NA,NA,NA,NA,NA,,3,4,1,1,1,,3,2,3,3,2,3,3,1,2,2,,1,0,0,0,1,1,1,2,0,1,1,1,1,1,0,1,1,1,0,0,1,,6,5,3,7,7,6,7,7,5,7,,4,4,5,1,1,,5,4,3,4,
107,1,218,5d87e122e951a10001c3811a,62,2,2,2,CA,2,1,1,1,1,2,1,5,1,1,1,3,3,1,3,1,1,1,3,3,3,2,,7,7,3,7,NA,NA,NA,NA,NA,NA,,4,5,1,3,3,,1,2,2,3,2,1,4,3,2,1,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,2,3,3,3,3,5,5,7,1,6,,3,4,3,4,1,,2,2,1,4,
108,1,219,5d59d45f44609300152e3404,20,1,2,2,CA,3,1,1,1,1,3,3,3,2,2,1,4,3,3,4,3,4,2,4,3,4,2,,4,4,6,4,NA,NA,NA,NA,NA,NA,,2,4,4,3,3,,2,3,4,2,1,2,3,3,2,3,,1,2,3,2,1,2,1,2,2,1,0,2,2,1,2,2,1,3,1,1,1,,4,4,5,3,5,4,4,5,3,6,,4,3,3,4,5,,1,1,1,4,
116,1,227,5e79e4caafaa73000b6a0d9f,20,1,3,2,CA,1,2,1,4,3,4,4,4,3,3,3,3,3,1,2,4,1,3,3,3,1,3,,7,7,5,7,NA,NA,NA,NA,NA,NA,,3,2,3,1,1,,3,4,3,4,2,2,3,3,3,3,,1,1,1,0,2,0,0,0,1,3,1,2,2,3,1,2,1,0,1,0,2,,1,4,1,1,4,6,7,7,3,7,,4,4,3,1,1,,3,2,2,4,
119,1,230,5d58db559fe0f000170f3e8e,26,2,4,2,CA,1,2,2,3,3,3,3,3,3,2,3,4,3,1,1,1,2,3,2,2,3,1,,7,5,7,7,NA,NA,NA,NA,NA,NA,,3,4,1,1,3,,3,3,3,2,2,2,2,2,2,2,,2,0,1,1,2,1,0,1,0,1,1,2,1,0,1,1,0,1,1,1,0,,6,4,2,6,6,5,5,5,7,5,,4,4,4,1,2,,4,2,2,4,
121,1,232,5d394d70daffca0017d5fc27,19,1,2,2,CA,3,1,2,3,3,3,3,2,2,1,3,3,3,1,2,2,3,3,2,1,3,2,,5,5,5,4,NA,NA,NA,NA,NA,NA,,3,4,3,2,1,,2,2,3,2,2,3,3,3,2,1,,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,,5,6,5,6,6,6,7,6,7,7,,3,3,5,4,3,,2,2,1,4,
134,1,245,5d89a31c43734d0001b6a706,35,2,1,2,CA,2,1,1,3,2,3,3,3,3,2,3,3,3,1,3,3,3,3,5,4,2,5,,6,7,5,5,NA,NA,NA,NA,NA,NA,,4,3,5,3,1,,4,4,4,2,2,2,3,3,4,4,,3,3,2,0,1,1,0,3,1,2,3,3,3,3,3,2,0,2,1,3,2,,3,2,7,7,5,5,7,7,6,7,,4,5,5,4,2,,4,2,4,4,
147,1,260,5e55e505df966b5f956fbbcc,23,1,3,2,CA,1,2,1,4,3,3,2,3,3,3,3,3,3,1,3,3,1,3,1,1,3,3,,6,3,5,5,NA,NA,NA,NA,NA,NA,,3,3,2,1,1,,2,2,3,3,2,1,3,2,2,3,,1,1,1,0,1,0,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,,5,3,4,4,5,6,5,5,6,5,,3,4,3,4,3,,2,2,1,4,
174,2,24,5e27727328b7b698b037ee6c,34,1,3,2,CA,1,2,1,3,3,3,3,2,3,2,5,5,4,4,4,3,3,3,3,4,3,3,,4,4,3,4,NA,NA,NA,NA,NA,NA,,2,3,3,2,1,,1,2,3,4,2,2,2,3,3,3,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,3,6,4,7,6,4,2,1,4,5,,2,2,3,3,2,,2,2,2,4,
202,2,52,5d45bb1b62ed9000197adbe6,23,1,4,2,CA,1,2,1,3,3,3,2,3,3,3,3,3,3,1,1,1,3,3,3,3,3,2,,4,5,4,4,NA,NA,NA,NA,NA,NA,,4,4,3,2,2,,3,3,2,2,2,3,3,2,2,2,,2,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,,3,4,3,4,4,5,4,5,5,4,,3,4,4,3,2,,4,5,3,4,
203,2,53,5ac399bce734400001da2257,42,2,2,2,CA,2,1,1,3,3,3,3,4,3,1,3,3,4,1,3,1,1,3,1,1,1,1,,7,7,7,7,NA,NA,NA,NA,NA,NA,,4,3,3,2,2,,2,3,4,2,2,3,1,2,2,2,,3,0,1,1,2,1,0,2,1,0,2,2,1,1,2,1,0,2,1,2,0,,3,4,3,5,4,4,5,6,6,7,,5,3,5,3,1,,2,5,2,4,
215,2,65,5b4ccba2e893120001247e9e,24,1,2,2,CA,3,1,1,2,3,2,1,3,2,1,3,3,3,1,1,3,1,3,1,1,1,1,,7,7,7,7,NA,NA,NA,NA,NA,NA,,3,3,3,1,1,,2,2,0,4,2,1,3,3,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,3,3,5,3,4,5,5,3,4,,3,4,3,2,1,,2,2,1,4,
216,2,66,5e71bcef5c18c00df7554120,18,1,2,2,CA,3,2,1,1,3,2,3,1,1,1,1,1,3,1,1,2,1,3,1,1,3,2,,7,5,6,7,NA,NA,NA,NA,NA,NA,,2,4,1,3,3,,4,4,4,2,2,1,3,1,3,4,,1,0,0,0,3,1,0,3,1,1,2,0,1,0,1,1,0,0,1,0,0,,3,4,6,7,2,7,7,7,7,5,,5,5,1,1,1,,1,1,1,4,
217,2,67,5af6bc85e19f8c00019e4e45,21,1,2,2,CA,3,1,1,3,3,2,3,2,2,1,3,2,4,1,1,1,1,4,1,1,1,2,,5,6,4,7,NA,NA,NA,NA,NA,NA,,4,2,3,2,2,,1,1,3,4,1,2,1,2,3,2,,1,0,1,1,3,2,0,2,2,3,2,1,2,2,2,3,3,1,0,0,3,,3,3,2,6,4,5,7,6,3,3,,4,3,3,1,1,,1,1,1,4,
231,2,81,5e416e22fb96eb000b3fe2a8,25,1,4,2,CA,1,3,2,3,5,5,5,5,5,5,5,5,5,3,3,3,1,5,3,5,5,5,None,7,5,7,6,NA,NA,NA,NA,NA,NA,,4,4,3,3,3,,1,2,1,3,3,1,3,3,2,1,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,,4,3,3,7,4,4,4,4,5,4,,3,3,3,3,1,,1,1,1,4,
243,2,93,5c5d47bec059db00014aeda2,27,2,3,2,CA,1,2,1,3,4,3,3,4,5,1,5,5,4,1,3,1,2,3,1,3,5,4,,6,7,6,6,NA,NA,NA,NA,NA,NA,,3,3,2,1,1,,2,2,3,2,2,2,2,3,3,2,,1,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,,5,5,7,6,6,6,7,7,6,6,,4,5,4,3,2,,3,2,1,4,
258,2,108,5df463c58640203215f17b97,45,2,2,2,CA,2,2,3,3,1,3,3,3,2,4,1,4,3,2,1,2,2,1,1,1,2,3,,6,7,6,7,NA,NA,NA,NA,NA,NA,,3,4,2,3,3,,2,3,3,2,2,2,3,1,2,2,,1,2,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,,6,3,4,6,3,4,6,5,3,4,,4,3,3,2,2,,2,2,1,4,
261,2,112,56d39b96da2aaa000dab6178,33,1,3,2,CA,1,2,1,3,3,4,3,3,3,3,3,3,3,1,1,1,3,3,1,3,1,3,,7,5,7,6,NA,NA,NA,NA,NA,NA,,3,3,2,1,3,,1,0,1,3,3,0,3,3,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,3,2,3,4,4,5,4,4,3,,3,3,5,2,1,,3,3,1,4,
267,2,118,5d1a1b598eabd8000134603e,36,1,2,2,CA,1,1,3,4,3,2,3,5,1,3,4,5,5,1,3,4,1,4,3,3,5,3,,7,6,5,6,NA,NA,NA,NA,NA,NA,,4,4,2,3,3,,2,1,2,3,3,0,2,3,1,0,,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,,4,3,6,6,4,4,5,5,7,4,,2,3,4,3,1,,3,4,4,4,
268,2,119,5e607be2b156963d0fa650d7,22,1,4,2,CA,3,1,1,3,3,3,2,1,3,1,2,3,3,1,1,5,1,3,1,2,3,1,,6,6,7,7,NA,NA,NA,NA,NA,NA,,4,5,2,1,3,,3,1,1,3,2,1,2,3,2,1,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,3,3,1,4,3,3,4,4,4,5,,3,2,3,1,1,,1,1,1,4,
286,2,138,5820ab7820c34d0001e6dff2,28,1,3,2,CA,1,2,2,3,3,3,2,4,2,5,4,4,3,1,2,2,2,2,3,4,2,5,,5,5,4,7,NA,NA,NA,NA,NA,NA,,3,3,2,3,3,,2,2,3,3,3,2,2,2,2,2,,3,2,2,2,2,2,1,2,1,1,2,3,3,2,2,3,3,1,0,1,3,,5,6,7,7,5,6,7,5,3,5,,5,3,3,3,3,,4,3,2,4,
294,2,147,5e6a421143a3ff034a2ede39,44,1,4,2,CA,1,3,5,4,5,4,5,5,4,5,5,5,5,4,5,5,4,5,5,5,4,5,Very good study .I like this .,7,6,6,7,NA,NA,NA,NA,NA,NA,Very good survey,5,4,5,3,2,Very good survey,4,3,4,4,4,3,4,4,4,4,Very good survey,1,3,2,2,3,3,2,2,3,3,2,3,3,2,3,3,3,2,3,3,3,Very good survey,6,7,6,7,7,7,6,5,7,7,Very good survey,5,5,4,5,5,Very good survey,4,5,5,3,I like this
294b,2,148,5e6a407bac510d0b1295bd58,40,1,4,2,CA,1,3,5,5,4,5,5,4,5,4,5,5,5,5,4,5,4,5,5,5,4,5,I like this survey .It's very good .,7,5,7,6,NA,NA,NA,NA,NA,NA,Very good,5,4,5,1,1,Very good survey,4,3,3,4,4,4,4,2,4,4,Very good survey,3,2,2,3,2,3,2,1,3,3,1,3,2,2,3,3,3,2,1,3,2,Very good survey,7,6,5,7,7,7,7,6,7,7,Very good survey,5,4,5,5,5,I like this,4,5,3,4,I like this
